N,D,base_version,fast_scalar,fast_scalar_avx,fast_scalar_8x8x8_avx,fast_scalar_8x8x8_avx_with_start
9500,200,30382237573.000000,7116637340.000000,5324753865.000000,2194637594.000000,2200575516.000000
10000,200,33664072966.000000,7937460764.000000,5976695732.000000,2445589969.000000,2459287217.000000
500,1000,445946557.000000,71441133.000000,61110371.000000,26935785.000000,26167537.000000
1000,1000,1784485131.000000,285877724.000000,244883980.000000,102676888.000000,101694464.000000
1500,1000,4023028292.000000,658924494.000000,569404527.000000,235882699.000000,234202917.000000
2000,1000,7148879789.000000,1223074782.000000,1062503955.000000,420190720.000000,421690419.000000
2500,1000,11170075444.000000,1978450423.000000,1719169029.000000,668399324.000000,670099506.000000
3000,1000,16131691123.000000,2963355327.000000,2582659339.000000,998484450.000000,1000670667.000000
3500,1000,21985379209.000000,4102869555.000000,3581373330.000000,1369631412.000000,1373153871.000000
4000,1000,28714131168.000000,5425816135.000000,4731568091.000000,1797344260.000000,1799824363.000000
4500,1000,36366625988.000000,6946809407.000000,6068352496.000000,2287725163.000000,2290675209.000000
5000,1000,44872669595.000000,8116253139.000000,7111046022.000000,2628088413.000000,2634317268.000000
5500,1000,54325334167.000000,10535573780.000000,8664718809.000000,3190526466.000000,3194124897.000000
6000,1000,64613441371.000000,12584540520.000000,11007380536.000000,4109225012.000000,4122090875.000000
6500,1000,75837097369.000000,14856318911.000000,13005002705.000000,4836831142.000000,4845270681.000000
7000,1000,88029710619.000000,17317021081.000000,15170753329.000000,5626007921.000000,5632663399.000000
7500,1000,101089055954.000000,19961250780.000000,17439345690.000000,6463747611.000000,6477974920.000000
8000,1000,115014974095.000000,22720588018.000000,19855200669.000000,7355683320.000000,7378037218.000000
8500,1000,129864691810.000000,25747285942.000000,22508228024.000000,8325801518.000000,8344591220.000000
9000,1000,145586283673.000000,27667367482.000000,25370568448.000000,9371356734.000000,9383976268.000000
9500,1000,162110164899.000000,32312330587.000000,26778078135.000000,9704449879.000000,9716913994.000000
10000,1000,179745572250.000000,35915424958.000000,31456461771.000000,11610301549.000000,11619624555.000000
500,2000,1002275145.000000,143236000.000000,131172512.000000,56583966.000000,55008541.000000
1000,2000,4013234387.000000,608435734.000000,558829868.000000,218831314.000000,217254529.000000
1500,2000,9029439672.000000,1436363351.000000,1318349837.000000,502630034.000000,502465819.000000
2000,2000,16053209357.000000,2627957716.000000,2407706964.000000,897334566.000000,898421016.000000
2500,2000,25115351226.000000,4179072780.000000,3821098534.000000,1418409300.000000,1421706296.000000
3000,2000,36166892770.000000,6128627147.000000,5601248543.000000,2076702691.000000,2083990750.000000
3500,2000,49296532678.000000,8377448899.000000,7644015385.000000,2835575119.000000,2846287291.000000
4000,2000,64378186192.000000,10998527363.000000,10052396877.000000,3713270797.000000,3720166121.000000
4500,2000,81370366832.000000,14021697321.000000,12843123248.000000,4709887984.000000,4714967194.000000
5000,2000,100457323143.000000,17393805798.000000,15928648564.000000,5812505891.000000,5830748627.000000
5500,2000,121539864324.000000,21105152935.000000,19344846246.000000,7047621601.000000,7066295131.000000
6000,2000,144619169462.000000,25170707705.000000,23082611436.000000,8389773085.000000,8404691917.000000
6500,2000,169786341402.000000,29640790522.000000,27153652014.000000,9845479137.000000,9865444336.000000
7000,2000,196931402403.000000,34474487373.000000,31572092232.000000,11431179887.000000,11459923004.000000
7500,2000,226071855036.000000,39670732250.000000,36343593522.000000,13138118906.000000,13145493413.000000
8000,2000,257221483387.000000,45168944744.000000,41449216153.000000,14960582444.000000,14972832377.000000
8500,2000,290488145386.000000,51259184871.000000,46966321947.000000,16909673015.000000,16926085635.000000
9000,2000,325674352696.000000,57610932325.000000,52747114967.000000,18981095077.000000,18990049603.000000
9500,2000,362975445435.000000,64310839933.000000,59038269306.000000,21154595766.000000,21179739960.000000
10000,2000,402202451641.000000,71559699041.000000,65574769649.000000,23476326240.000000,23512095421.000000
