N,D,base_version,fast_scalar,fast_scalar_avx,fast_scalar_avx_start_matter,fast_scalar_8x8x8_avx,fast_scalar_8x8x8_avx_with_start
288,9,990131.000000,715734.000000,623505.000000,613935.000000,312006.000000,301979.000000
288,18,1698635.000000,1183074.000000,731192.000000,716492.000000,395957.000000,382041.000000
288,36,3973579.000000,2047470.000000,988268.000000,960067.000000,616103.000000,572572.000000
288,72,8913380.000000,3960485.000000,1269821.000000,1191390.000000,650290.000000,554915.000000
288,144,20185057.000000,6978202.000000,2356251.000000,2224376.000000,1146499.000000,973417.000000
288,288,42600953.000000,13242708.000000,4817966.000000,4562355.000000,2225467.000000,1884671.000000
288,576,87333723.000000,25402710.000000,10137320.000000,9649922.000000,4257033.000000,3643023.000000
288,1152,176719716.000000,49837669.000000,22569768.000000,21648156.000000,10859572.000000,9730492.000000
288,2304,355579561.000000,98887911.000000,46006190.000000,44529003.000000,22029889.000000,20101709.000000
288,4608,714437764.000000,202810635.000000,94399991.000000,91656433.000000,46255086.000000,43203852.000000
576,9,4684721.000000,3180547.000000,3147371.000000,3127433.000000,1226534.000000,1208438.000000
576,18,6908005.000000,4805986.000000,3376875.000000,3352284.000000,1554392.000000,1534146.000000
576,36,15738838.000000,8133149.000000,4106387.000000,4060739.000000,2378498.000000,2277241.000000
576,72,36258474.000000,15667158.000000,5295902.000000,5148068.000000,2516494.000000,2278874.000000
576,144,80834493.000000,27774118.000000,9407203.000000,9165322.000000,4238514.000000,3842314.000000
576,288,173773963.000000,52475247.000000,24443802.000000,18624502.000000,9357278.000000,8708555.000000
576,576,347875350.000000,100231654.000000,43895039.000000,42976283.000000,16024187.000000,14724388.000000
576,1152,704683647.000000,197006946.000000,87863294.000000,86163186.000000,39994584.000000,37814792.000000
576,2304,1419158481.000000,390959115.000000,178946333.000000,175677638.000000,80325972.000000,76565717.000000
576,4608,2872896193.000000,840041841.000000,404976646.000000,397939659.000000,174579468.000000,169268345.000000
1152,9,29081939.000000,22607757.000000,22574034.000000,22536765.000000,4966320.000000,4933973.000000
1152,18,35191009.000000,23729766.000000,23075087.000000,23023137.000000,6200322.000000,6165117.000000
1152,36,62698885.000000,32516453.000000,24305226.000000,24198529.000000,9367085.000000,9051444.000000
1152,72,144972581.000000,62300646.000000,25914545.000000,25632269.000000,9462072.000000,8810920.000000
1152,144,322936684.000000,109822301.000000,38097229.000000,52953410.000000,19551909.000000,18729907.000000
1152,288,678810095.000000,207811581.000000,83672165.000000,82717760.000000,31740939.000000,30452430.000000
1152,576,1390387477.000000,398705758.000000,173737401.000000,172103291.000000,60615098.000000,57848911.000000
1152,1152,2818151453.000000,788308647.000000,355328500.000000,350552983.000000,154376329.000000,157134351.000000
1152,2304,5706782458.000000,1623903322.000000,784347777.000000,776759241.000000,318945315.000000,312050747.000000
1152,4608,11591649584.000000,3527608156.000000,1861746352.000000,1831043812.000000,689615170.000000,678335553.000000
2304,9,137552705.000000,110432199.000000,110513888.000000,110146057.000000,21200976.000000,21159757.000000
2304,18,158916976.000000,110755420.000000,110646570.000000,110370328.000000,25909016.000000,25897871.000000
2304,36,250259524.000000,130439141.000000,111527755.000000,111584195.000000,38084131.000000,37015707.000000
2304,72,579451960.000000,248962206.000000,114224238.000000,113754736.000000,38346483.000000,36495451.000000
2304,144,1288531692.000000,439316924.000000,171654928.000000,170449960.000000,67179967.000000,65576202.000000
2304,288,2713572559.000000,829481586.000000,334749561.000000,332589574.000000,123924676.000000,121466931.000000
2304,576,5561596169.000000,1592894117.000000,686753114.000000,682381529.000000,237893097.000000,230593819.000000
2304,1152,11329930445.000000,3275724808.000000,1579531436.000000,1569246608.000000,626808180.000000,618521572.000000
2304,2304,23070794981.000000,6800068511.000000,3591317716.000000,3553686673.000000,1459625754.000000,1290245136.000000
2304,4608,46530493795.000000,14305590319.000000,7873521413.000000,7849150350.000000,2757845652.000000,2740148601.000000
4608,9,606965449.000000,503952157.000000,504852237.000000,504979427.000000,107784057.000000,107791804.000000
4608,18,692979251.000000,503172332.000000,500441790.000000,501080558.000000,125071368.000000,125196033.000000
4608,36,1018581037.000000,546089101.000000,504552472.000000,505569829.000000,172839741.000000,169485908.000000
4608,72,2328083988.000000,1016232744.000000,516024421.000000,516580488.000000,179466604.000000,197758540.000000
4608,144,5183309749.000000,1786057896.000000,744802060.000000,742036273.000000,287322739.000000,282489687.000000
4608,288,10883770064.000000,3406916674.000000,1489237925.000000,1486837462.000000,522015705.000000,514070343.000000
4608,576,22396541884.000000,6722128977.000000,3295647732.000000,3294294865.000000,1055219407.000000,1033951521.000000
4608,1152,45678930591.000000,13682036857.000000,7262334407.000000,7257409085.000000,2634438478.000000,2616748197.000000
4608,2304,92794348504.000000,27297148392.000000,15297784536.000000,15290474679.000000,5290361695.000000,5263973530.000000
4608,4608,186461853968.000000,57568777816.000000,32477926788.000000,32669019887.000000,11161283539.000000,11133105547.000000
