N,D,base_version,fast_scalar,fast_scalar_avx,fast_scalar_avx_start_matter,fast_scalar_8x8x8_avx,fast_scalar_8x8x8_avx_with_start
256,4096,502262707.000000,141897809.000000,66250105.000000,65157142.000000,36615084.000000,35280863.000000
512,8,5916738.000000,5105639.000000,5103323.000000,5083354.000000,828461.000000,806647.000000
512,16,6882176.000000,5145730.000000,5125031.000000,5099512.000000,896112.000000,861861.000000
512,32,11788890.000000,5779836.000000,5187268.000000,5135364.000000,1119206.000000,1048267.000000
512,64,24708040.000000,11396609.000000,5334646.000000,5262166.000000,1755953.000000,1643288.000000
512,128,56083558.000000,19848536.000000,6558958.000000,6367076.000000,2980105.000000,2706038.000000
512,256,118543284.000000,37485808.000000,13315170.000000,13089737.000000,5854169.000000,5449276.000000
512,512,243524370.000000,71363866.000000,30210099.000000,29941971.000000,11909649.000000,11367605.000000
512,1024,494115654.000000,139966398.000000,60979658.000000,60607187.000000,26084108.000000,25264001.000000
512,2048,996264156.000000,279895825.000000,125066415.000000,125659131.000000,68092180.000000,65309386.000000
512,4096,2040548554.000000,581243653.000000,272863487.000000,271258937.000000,142197009.000000,137373768.000000
1024,8,31375433.000000,21639407.000000,21622981.000000,21639599.000000,4337505.000000,4289448.000000
1024,16,31435671.000000,21750352.000000,21682739.000000,21619436.000000,4598271.000000,4535895.000000
1024,32,46870771.000000,23131563.000000,21864197.000000,21774188.000000,5264601.000000,5155167.000000
1024,64,99926025.000000,45715113.000000,22243895.000000,22044288.000000,7001205.000000,6731991.000000
1024,128,223996392.000000,79238315.000000,26909019.000000,26516896.000000,11993922.000000,11416876.000000
1024,256,477037701.000000,154451181.000000,58362591.000000,58075061.000000,23343007.000000,23651095.000000
1024,512,973873882.000000,283977728.000000,118803567.000000,118642686.000000,45180985.000000,44010858.000000
1024,1024,1974478121.000000,558545830.000000,244496183.000000,242639864.000000,99070406.000000,97214281.000000
1024,2048,3991180014.000000,1132046490.000000,531727105.000000,530719218.000000,256990624.000000,254619882.000000
1024,4096,8130060515.000000,2450177461.000000,1238267163.000000,1231398177.000000,548983193.000000,563376045.000000
2048,8,126546516.000000,96104839.000000,96382369.000000,96261071.000000,16748332.000000,16651568.000000
2048,16,136248572.000000,97084874.000000,96917422.000000,97184117.000000,17763511.000000,17614460.000000
2048,32,187216237.000000,98903686.000000,97931052.000000,98112382.000000,20278902.000000,19915829.000000
2048,64,400493078.000000,182334908.000000,101196682.000000,101157636.000000,28691793.000000,28225167.000000
2048,128,895363614.000000,407486354.000000,126863305.000000,126124639.000000,49966607.000000,48812994.000000
2048,256,1894083912.000000,597325653.000000,241179746.000000,239750701.000000,91666783.000000,90504785.000000
2048,512,3894966610.000000,1141732138.000000,490343183.000000,487826305.000000,178125996.000000,172855104.000000
2048,1024,7912447461.000000,2252801752.000000,1034889443.000000,1036285528.000000,390353072.000000,387902485.000000
2048,2048,16257171219.000000,4786313468.000000,2471254278.000000,2459454659.000000,1060752916.000000,1065385089.000000
2048,4096,32670894596.000000,10080123928.000000,5362631277.000000,5359267208.000000,2231809732.000000,2260259246.000000
4096,8,531842484.000000,444619076.000000,444557791.000000,444570044.000000,83648819.000000,83434126.000000
4096,16,603490103.000000,446298180.000000,446038550.000000,445772989.000000,87275504.000000,86849718.000000
4096,32,763103218.000000,452167596.000000,451379414.000000,451073382.000000,98304083.000000,97117075.000000
4096,64,1614548710.000000,741969642.000000,464728713.000000,464532472.000000,135284610.000000,134794108.000000
4096,128,3593299093.000000,1274062750.000000,529809371.000000,529396955.000000,213514981.000000,210630456.000000
4096,256,7588757041.000000,2395706274.000000,995165764.000000,986359742.000000,382185051.000000,378647975.000000
4096,512,15600975741.000000,4586356102.000000,1994835985.000000,1999330688.000000,739914434.000000,730321450.000000
4096,1024,32099342315.000000,9518855285.000000,4902657141.000000,4923067955.000000,1658376426.000000,1662555015.000000
4096,2048,65229315590.000000,19536446887.000000,10674292982.000000,10721562376.000000,4327670871.000000,4351419812.000000
4096,4096,130943464447.000000,41045042870.000000,22310699521.000000,22299867646.000000,9256605511.000000,9201025773.000000
